营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
,,图木舒克市,0.0,,,,,
,,乌鲁木齐市,1782.0,新疆连,261.0,12%,7人,1300
,,五家渠市,0.0,,,,,
,,新星市,0.0,,,,,
,,伊犁哈萨克自治州,747.0,,,,,
,,自治区直辖县级行政区划,749.0,,,,,
,,大连市,208.0,,,,,
,,青岛市,2515.0,渤海港口连,708.0,44%,6人,2200
,,天津市,1231.0,,,,,
,,福州市,601.0,福建连,88.0,12%,3人,890
,,龙岩市,436.0,,,,,
,,南平市,421.0,,,,,
,,宁德市,285.0,,,,,
,,莆田市,38.0,,,,,
,,泉州市,355.0,,,,,
,,三明市,398.0,,,,,
,,潮州市,38.0,,,,,
,,东莞市,53.0,粤湘连,521.0,18%,8人,2186
,,广州市,1412.0,,,,,
,,惠州市,18.0,,,,,
,,揭阳市,31.0,,,,,
,,厦门市,1608.0,,,,,
,,汕头市,35.0,,,,,
,,汕尾市,4.0,,,,,
,,深圳市,2585.0,广深厦漳连,923.0,42%,10人,3200
,,漳州市,858.0,,,,,
,,上海市,1462.0,上海KD、CD连,800.0,40%,9人,3100
,,常州市,491.0,,,,,
,,南京市,1562.0,苏南连,659.0,35%,7人,2000
,,南通市,455.0,,,,,
,,苏州市,1388.0,,,,,
,,泰州市,170.0,,,,,
,,无锡市,462.0,,,,,
,,扬州市,826.0,,,,,
,,镇江市,133.0,,,,,
,,淮安市,767.0,,,,,
,,连云港市,1470.0,,,,,
,,临沂市,2228.0,,,,,
,,日照市,576.0,,,,,
,,宿迁市,767.0,,,,,
,,徐州市,1610.0,运河连,580.0,16%,11人,2200
,,盐城市,849.0,,,,,
,,枣庄市,905.0,,,,,
,,杭州市,1828.0,,,,,
,,湖州市,168.0,,,,,
,,嘉兴市,609.0,,,,,
,,金华市,587.0,,,,,
,,丽水市,177.0,,,,,
,,宁波市,3120.0,浙江KD、CD连,1158.0,36%,11人,3300
,,衢州市,2278.0,,,,,
,,绍兴市,304.0,,,,,
,,台州市,502.0,,,,,
,,温州市,219.0,,,,,
,,舟山市,81.0,,,,,
