营部,连队,城市
东南大营,广深厦漳连,东莞市
东南大营,广深厦漳连,广州市
东南大营,广深厦漳连,惠州市
东南大营,广深厦漳连,揭阳市
东南大营,广深厦漳连,厦门市
东南大营,广深厦漳连,汕头市
东南大营,广深厦漳连,汕尾市
东南大营,广深厦漳连,深圳市
东南大营,广深厦漳连,漳州市
东南大营,上海KD、CD连,上海市
东南大营,苏南连,常州市
东南大营,苏南连,南京市
东南大营,苏南连,南通市
东南大营,苏南连,苏州市
东南大营,苏南连,泰州市
东南大营,苏南连,无锡市
东南大营,苏南连,扬州市
东南大营,苏南连,镇江市
东南大营,运河连,淮安市
东南大营,运河连,连云港市
东南大营,运河连,临沂市
东南大营,运河连,日照市
东南大营,运河连,宿迁市
东南大营,运河连,徐州市
东南大营,运河连,盐城市
东南大营,运河连,枣庄市
东南大营,浙江KD、CD连,杭州市
东南大营,浙江KD、CD连,湖州市
东南大营,浙江KD、CD连,嘉兴市
东南大营,浙江KD、CD连,金华市
东南大营,浙江KD、CD连,丽水市
东南大营,浙江KD、CD连,宁波市
东南大营,浙江KD、CD连,衢州市
东南大营,浙江KD、CD连,绍兴市
东南大营,浙江KD、CD连,台州市
东南大营,浙江KD、CD连,温州市
东南大营,浙江KD、CD连,舟山市
长江大营,安徽连,安庆市
长江大营,安徽连,池州市
长江大营,安徽连,滁州市
长江大营,安徽连,合肥市
长江大营,安徽连,黄山市
长江大营,安徽连,马鞍山市
长江大营,安徽连,铜陵市
长江大营,安徽连,芜湖市
长江大营,安徽连,宣城市
长江大营,江西连,抚州市
长江大营,江西连,赣州市
长江大营,江西连,吉安市
长江大营,江西连,景德镇市
长江大营,江西连,九江市
长江大营,江西连,南昌市
长江大营,江西连,萍乡市
长江大营,江西连,上饶市
长江大营,江西连,新余市
长江大营,江西连,宜春市
长江大营,江西连,鹰潭市
长江大营,荆州连,常德市
长江大营,荆州连,鄂州市
长江大营,荆州连,恩施土家族苗族自治州
长江大营,荆州连,黄冈市
长江大营,荆州连,黄石市
长江大营,荆州连,荆门市
长江大营,荆州连,荆州市
长江大营,荆州连,潜江市
长江大营,荆州连,省直辖县级行政区划
长江大营,荆州连,天门市
长江大营,荆州连,武汉市
长江大营,荆州连,仙桃市
长江大营,荆州连,咸宁市
长江大营,荆州连,孝感市
长江大营,荆州连,宜昌市
长江大营,荆州连,益阳市
长江大营,荆州连,岳阳市
长江大营,荆州连,张家界市
长江大营,重庆加强连,巴中市
长江大营,重庆加强连,达州市
长江大营,重庆加强连,广安市
长江大营,重庆加强连,重庆市
西南大营,白酒连,安顺市
西南大营,白酒连,毕节市
西南大营,白酒连,贵阳市
西南大营,白酒连,六盘水市
西南大营,白酒连,泸州市
西南大营,白酒连,内江市
西南大营,白酒连,黔东南苗族侗族自治州
西南大营,白酒连,黔南布依族苗族自治州
西南大营,白酒连,黔西南布依族苗族自治州
西南大营,白酒连,铜仁市
西南大营,白酒连,宜宾市
西南大营,白酒连,昭通市
西南大营,白酒连,自贡市
西南大营,白酒连,遵义市
西南大营,成都连,阿坝藏族羌族自治州
西南大营,成都连,成都市
西南大营,成都连,德阳市
西南大营,成都连,甘孜藏族自治州
西南大营,成都连,广元市
西南大营,成都连,汉中市
西南大营,成都连,乐山市
西南大营,成都连,眉山市
西南大营,成都连,绵阳市
西南大营,成都连,南充市
西南大营,成都连,遂宁市
西南大营,成都连,雅安市
西南大营,成都连,资阳市
西南大营,广西加强连,百色市
西南大营,广西加强连,北海市
西南大营,广西加强连,崇左市
西南大营,广西加强连,防城港市
西南大营,广西加强连,贵港市
西南大营,广西加强连,桂林市
西南大营,广西加强连,河池市
西南大营,广西加强连,贺州市
西南大营,广西加强连,来宾市
西南大营,广西加强连,柳州市
西南大营,广西加强连,南宁市
西南大营,广西加强连,钦州市
西南大营,广西加强连,文山壮族苗族自治州
西南大营,广西加强连,梧州市
西南大营,广西加强连,玉林市
西南大营,烟草连,保山市
西南大营,烟草连,楚雄彝族自治州
西南大营,烟草连,大理白族自治州
西南大营,烟草连,德宏傣族景颇族自治州
西南大营,烟草连,迪庆藏族自治州
西南大营,烟草连,红河哈尼族彝族自治州
西南大营,烟草连,昆明市
西南大营,烟草连,丽江市
西南大营,烟草连,凉山彝族自治州
西南大营,烟草连,临沧市
西南大营,烟草连,怒江傈僳族自治州
西南大营,烟草连,攀枝花市
西南大营,烟草连,普洱市
西南大营,烟草连,曲靖市
西南大营,烟草连,西双版纳傣族自治州
西南大营,烟草连,玉溪市
西南大营,粤湘连,潮州市
西南大营,粤湘连,郴州市
西南大营,粤湘连,儋州市
西南大营,粤湘连,东方市
西南大营,粤湘连,东莞市
西南大营,粤湘连,佛山市
西南大营,粤湘连,广州市
